Сортировка;Код;Наименование;Загол-ок (title);Подробное описание;Краткое описание;Цена;Старая цена;Cклад;Продано;META Keywords;META Description;Стоимость доставки;Ограничение на минимальный заказ товара (штук);Файл;Производитель;Страна производителя;Кожух;Способ пуска;Модель двигателя;Тип двигателя;Топливо;Частота вращения двигателя, об/мин;Способ охлаждения;Уровень шума, дБ;Габаритные размеры, мм (ДхШхВ);Вес, кг
0;1174;Бензиновая электростанция AY 12500 H A/E auto;Бензиновая электростанция AY 12500 H A/E auto;"&nbsp;";"&nbsp;";148000;0;0;0;Бензиновая электростанция AY 12500 H A/E auto;Бензиновая электростанция AY 12500 H A/E auto;0;1;;{AYERBE};Испания;{без кожуха};{автозапуск};Honda GX 620;Бензиновый;{АИ-92};{3000};{воздушное};77;950x746x720;150
0;1177;Бензиновая электростанция AY 12500 H TX A/E;Бензиновая электростанция AY 12500 H TX A/E;"&nbsp;";"&nbsp;";127000;0;0;0;Бензиновая электростанция AY 12500 H TX A/E;Бензиновая электростанция AY 12500 H TX A/E;0;1;;{AYERBE};Испания;{без кожуха};{электростарт};Honda GX 620;Бензиновый;{АИ-92};{3000};{воздушное};77;950x746x720;150
0;1177;Бензиновая электростанция AY 12500 H TX A/E auto;Бензиновая электростанция AY 12500 H TX A/E auto;"&nbsp;";"&nbsp;";156000;0;0;0;Бензиновая электростанция AY 12500 H TX A/E auto;Бензиновая электростанция AY 12500 H TX A/E auto;0;1;;{AYERBE};Испания;{без кожуха};{автозапуск};Honda GX 620;Бензиновый;{АИ-92};{3000};{воздушное};77;950x746x720;150
0;1174;Бензиновая электростанция AY 12500 HE;Бензиновая электростанция AY 12500 HE;"&nbsp;";"&nbsp;";120000;0;0;0;Бензиновая электростанция AY 12500 HE;Бензиновая электростанция AY 12500 HE;0;1;;{AYERBE};Испания;{без кожуха};{электростарт};Honda GX 620;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;950x746x720;150
0;1191;Бензиновая электростанция AY 16000 V TX A/E;Бензиновая электростанция AY 16000 V TX A/E;"&nbsp;";"&nbsp;";123000;0;0;0;Бензиновая электростанция AY 16000 V TX A/E;Бензиновая электростанция AY 16000 V TX A/E;0;1;;{AYERBE};Испания;{без кожуха};{электростарт};Vanguard TWIN 22HP;Бензиновый;{АИ-92};{3000};{воздушное};77;950x746x720;140
0;1191;Бензиновая электростанция AY 16000 V TX A/E auto;Бензиновая электростанция AY 16000 V TX A/E auto;"&nbsp;";"&nbsp;";154000;0;0;0;Бензиновая электростанция AY 16000 V TX A/E auto;Бензиновая электростанция AY 16000 V TX A/E auto;0;1;;{AYERBE};Испания;{без кожуха};{автозапуск};Vanguard TWIN 22HP;Бензиновый;{АИ-92};{3000};{воздушное};77;950x746x720;140
0;951;Бензиновая электростанция AY 3000 H;Бензиновая электростанция AY 3000 H;"&nbsp;";"&nbsp;";25500;0;0;0;Бензиновая электростанция AY 3000 H;Бензиновая электростанция AY 3000 H;0;1;;{AYERBE};Испания;{без кожуха};{ручной};Honda GX 160;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;650x480x425;47
0;961;Бензиновая электростанция AY 3100 KT;Бензиновая электростанция AY 3100 KT;"&nbsp;";"&nbsp;";20200;0;0;0;Бензиновая электростанция AY 3100 KT;Бензиновая электростанция AY 3100 KT;0;1;;{AYERBE};Испания;{без кожуха};{ручной};KIOTSU KT-168;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};70;650x480x425;38
0;979;Бензиновая электростанция AY 3800 H;Бензиновая электростанция AY 3800 H;"&nbsp;";"&nbsp;";25970;0;0;0;Бензиновая электростанция AY 3800 H;Бензиновая электростанция AY 3800 H;0;1;;{AYERBE};Испания;{без кожуха};{ручной};Honda GX 160;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;650x480x425;45
0;976;Бензиновая электростанция AY 3800 KT;Бензиновая электростанция AY 3800 KT;"&nbsp;";"&nbsp;";22650;0;0;0;Бензиновая электростанция AY 3800 KT;Бензиновая электростанция AY 3800 KT;0;1;;{AYERBE};Испания;{без кожуха};{ручной};KIOTSU KT-168;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;650x480x425;48
0;1029;Бензиновая электростанция AY 5000 H;Бензиновая электростанция AY 5000 H;"&nbsp;";"&nbsp;";46600;0;0;0;Бензиновая электростанция AY 5000 H;Бензиновая электростанция AY 5000 H;0;1;;{AYERBE};Испания;{без кожуха};{ручной};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;770x746x625;75
0;1031;Бензиновая электростанция AY 5000 H A/E auto;Бензиновая электростанция AY 5000 H A/E auto;"&nbsp;";"&nbsp;";95300;0;0;0;Бензиновая электростанция AY 5000 H A/E auto;Бензиновая электростанция AY 5000 H A/E auto;0;1;;{AYERBE};Испания;{без кожуха};{автозапуск};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;770x746x625;75
0;1031;Бензиновая электростанция AY 5000 H E;Бензиновая электростанция AY 5000 H E;"&nbsp;";"&nbsp;";60000;0;0;0;Бензиновая электростанция AY 5000 H E;Бензиновая электростанция AY 5000 H E;0;1;;{AYERBE};Испания;{без кожуха};{электростарт};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;770x746x625;75
0;1028;Бензиновая электростанция AY 5000 KT;Бензиновая электростанция AY 5000 KT;"&nbsp;";"&nbsp;";36500;0;0;0;Бензиновая электростанция AY 5000 KT;Бензиновая электростанция AY 5000 KT;0;1;;{AYERBE};Испания;{без кожуха};{ручной};KIOTSU KT-188;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;770x746x625;70
0;1032;Бензиновая электростанция AY 5500 H TX;Бензиновая электростанция AY 5500 H TX;"&nbsp;";"&nbsp;";60000;0;0;0;Бензиновая электростанция AY 5500 H TX;Бензиновая электростанция AY 5500 H TX;0;1;;{AYERBE};Испания;{без кожуха};{ручной};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;770x746x625;85
0;1034;Бензиновая электростанция AY 5500 HE;Бензиновая электростанция AY 5500 HE;"&nbsp;";"&nbsp;";70000;0;0;0;Бензиновая электростанция AY 5500 HE;Бензиновая электростанция AY 5500 HE;0;1;;{AYERBE};Испания;{без кожуха};{электростарт};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;770x746x625;85
0;1034;Бензиновая электростанция AY 5500 HE auto;Бензиновая электростанция AY 5500 HE auto;"&nbsp;";"&nbsp;";105000;0;0;0;Бензиновая электростанция AY 5500 HE auto;Бензиновая электростанция AY 5500 HE auto;0;1;;{AYERBE};Испания;{без кожуха};{автозапуск};Honda GX 270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;770x746x625;85
0;1113;Бензиновая электростанция AY 8000 H;Бензиновая электростанция AY 8000 H;"&nbsp;";"&nbsp;";63500;0;0;0;Бензиновая электростанция AY 8000 H;Бензиновая электростанция AY 8000 H;0;1;;{AYERBE};Испания;{без кожуха};{ручной};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;950x746x625;85
0;1122;Бензиновая электростанция AY 8000 H  A/E auto;Бензиновая электростанция AY 8000 H  A/E auto;"&nbsp;";"&nbsp;";115800;0;0;0;;;0;1;;{AYERBE};Испания;{без кожуха};{автозапуск};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;950x746x625;90
0;1121;Бензиновая электростанция AY 8000 H A/E;Бензиновый электрогенератор AY 8000 H A/E;"&nbsp;";"&nbsp;";75800;0;0;0;Бензиновая электростанция AY 8000 H A/E;Бензиновая электростанция AY 8000 H A/E;0;1;;{AYERBE};Испания;{без кожуха};{электростарт};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;950x746x625;85
0;1121;Бензиновая электростанция AY 8000 H A/E auto;Бензиновая электростанция AY 8000 H A/E auto;"&nbsp;";"&nbsp;";113000;0;0;0;Бензиновая электростанция AY 8000 H A/E auto;Бензиновая электростанция AY 8000 H A/E auto;0;1;;{AYERBE};Испания;{без кожуха};{автозапуск};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;950x746x625;85
0;1122;Бензиновая электростанция AY 8000 H TX A/E;Бензиновая электростанция AY 8000 H TX A/E;"&nbsp;";"&nbsp;";79800;0;0;0;Бензиновая электростанция AY 8000 H TX A/E;Бензиновая электростанция AY 8000 H TX A/E;0;1;;{AYERBE};Испания;{без кожуха};{электростарт};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;950x746x625;90
0;1112;Бензиновая электростанция AY 8000 KT;Бензиновая электростанция AY 8000 KT;"&nbsp;";"&nbsp;";50000;0;0;0;Бензиновая электростанция AY 8000 KT;Бензиновая электростанция AY 8000 KT;0;1;;{AYERBE};Испания;{без кожуха};{ручной};KIOTSU KT-188;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;950x746x625;96
0;1112;Бензиновая электростанция AY 8000 KT;Бензиновая электростанция AY 8000 KT;"&nbsp;";"&nbsp;";50000;0;0;0;Бензиновая электростанция AY 8000 KT;Бензиновая электростанция AY 8000 KT;0;1;;{AYERBE};Испания;{без кожуха};{ручной};KIOTSU KT-188;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};72;950 x 746 x 625;96
0;1023;Бензиновая электростанция G 5 TF H;Бензиновая электростанция G 5 TF H;"&nbsp;";"Дизельные <a href=""/gesan.html"">генераторы Gesan</a>.";118400;0;0;0;Бензиновая электростанция G 5 TF H;Бензиновая электростанция G 5 TF H;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};Honda GX270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};76;720x500x500;58.3
0;1021;Бензиновая электростанция G 5 TF H;Бензиновая электростанция G 5 TF H;"&nbsp;";"Дизельные <a href=""/gesan.html"">генераторы Gesan</a> продажа.";68200;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{электростарт};Honda GX270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};76;720x500x500;58.3
0;1023;Бензиновая электростанция G 5 TF H;Бензиновая электростанция G 5 TF H;"&nbsp;";"&nbsp;";118400;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};Honda GX270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};76;720x500x500;58.3
0;1095;Бензиновая электростанция G 7 TF H;Бензиновая электростанция G 7 TF H;"&nbsp;";"Доставка <a href=""/gesan.html"">генераторы Gesan</a>.";62200;0;0;0;Бензиновая электростанция G 7 TF H;Бензиновая электростанция G 7 TF H;0;1;;{Gesan};Испания;{без кожуха};{ручной};Honda GX390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;720x500x500;68.3
0;1120;Бензиновая электростанция G 8/10 TFH;Бензиновая электростанция G 8/10 TFH;"&nbsp;";"Бензиновая <a href=""/gesan.html"">электростанция Gesan</a>.";96500;0;0;0;Бензиновая электростанция G 8/10 TFH;Бензиновая электростанция G 8/10 TFH;0;1;;{Gesan};Испания;{без кожуха};{электростарт};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;855x620x585;80.2
0;1120;Бензиновая электростанция G 8/10 TFH;Бензиновая электростанция G 8/10 TFH;"&nbsp;";"&nbsp;";96500;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{электростарт};GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;855x620x585;80.2
0;1119;Бензиновая электростанция G 8000/10000 H;Бензиновая электростанция G 8000/10000 H;"&nbsp;";"<a href=""/gesan.html"">Gesan дизельная электростанция</a>.";95800;0;0;0;Бензиновая электростанция G 8000/10000 H;Бензиновая электростанция G 8000/10000 H;0;1;;{Gesan};Испания;{без кожуха};{электростарт};Honda GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;855x620x585;80.2
0;1119;Бензиновая электростанция G 8000/10000 H;Бензиновая электростанция G 8000/10000 H;"&nbsp;";"&nbsp;";95800;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{электростарт};GX 390;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;855x620x585;80.2
0;1155;Бензиновая электростанция G10000V;Бензиновая электростанция G10000V;"&nbsp;";"Бензиновые <a href=""/gesan.html"">Gesan</a> электростанция.";154200;0;0;0;Бензиновая электростанция G10000V;Бензиновая электростанция G10000V;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};VANGUARD 30344;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900x520x550;95
0;1151;Бензиновая электростанция G10000V;Бензиновая электростанция G10000V;"&nbsp;";"Бензиновые <a href=""/gesan.html"">Gesan электростанции</a>..";104800;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{электростарт};VANGUARD 30344;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900x520x550;95
0;1155;Бензиновая электростанция G10000V;Бензиновая электростанция G10000V;"&nbsp;";"&nbsp;";154200;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};{};{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900x520x550;95
0;1156;Бензиновая электростанция G10TFV;Бензиновая электростанция G10TFV;"&nbsp;";"Бензиновые <a href=""/gesan.html"">электростанции Gesan</a> продажа в Москве.";155000;0;0;0;Бензиновая электростанция G10TFV;Бензиновая электростанция G10TFV;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};VANGUARD 30344;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900х520х550;81
0;1152;Бензиновая электростанция G10TFV;Бензиновая электростанция G10TFV;"&nbsp;";"Бензиновые <a href=""/gesan.html"">электростанции Gesan</a> 1-600 квт.";105400;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{электростарт};VANGUARD 30344;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900х520х550;95
0;1156;Бензиновая электростанция G10TFV;Бензиновая электростанция G10TFV;"&nbsp;";"&nbsp;";155000;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};VANGUARD 30344;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900х520х550;81
0;1175;Бензиновая электростанция G12000H;Бензиновая электростанция G12000H;"&nbsp;";"Бензиновые электростанции Gesan, <a href=""/gesan.html"">дизельный генератор Gesan</a>.";189700;0;0;0;Бензиновая электростанция G12000H;Бензиновая электростанция G12000H;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};Honda GX620;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900х585х600;103
0;1175;Бензиновая электростанция G12000H;Бензиновая электростанция G12000H;"&nbsp;";"&nbsp;";189700;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};Honda GX620 ;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900х585х600;103
0;1163;Бензиновая электростанция G12000V;Бензиновая электростанция G12000V;"&nbsp;";"Бензиновый генератор Gesan, дизельные <a href=""/gesan.html"">электростанции Gesan</a>.";163900;0;0;0;Бензиновая электростанция G12000V;Бензиновая электростанция G12000V;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};VANGUARD 350447;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900х520х550;95
0;1163;Бензиновая электростанция G12000V;Бензиновая электростанция G12000V;"&nbsp;";"&nbsp;";163900;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};VANGUARD 350447;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900х520х550;95
0;1176;Бензиновая электростанция G12TFH;Бензиновая электростанция G12TFH;<br />;"Выбор <a href=""/gesan.html"">Gesan</a> и доставка.";195500;0;0;0;Бензиновая электростанция G12TFH;Бензиновая электростанция G12TFH;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};Honda GX620;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900x585x600;107
0;1176;Бензиновая электростанция G12TFH;Бензиновая электростанция G12TFH;"&nbsp;";"&nbsp;";195500;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};Honda GX620;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900x585x600;107
0;1173;Бензиновая электростанция G12TFV;Бензиновая электростанция G12TFV;"&nbsp;";"Гарантия <a href=""/gesan.html"">электростанция Gesan</a>.";166700;0;0;0;Бензиновая электростанция G12TFV;Бензиновая электростанция G12TFV;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};VANGUARD 350447;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900x520x550;98
0;1173;Бензиновая электростанция G12TFV;Бензиновая электростанция G12TFV;"&nbsp;";"&nbsp;";166700;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900x520x550;98
0;1189;Бензиновая электростанция G15TFH;Бензиновая электростанция G15TFH;"&nbsp;";"Генератор бензиновый <a href=""/gesan.html"">Gesan</a>.";209700;0;0;0;Бензиновая электростанция G15TFH;Бензиновая электростанция G15TFH;0;1;;{Gesan};Испания;{в кожухе};{электростарт};Honda GX670;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;900х585х610;110
0;1189;Бензиновая электростанция G15TFH;Бензиновая электростанция G15TFH;"&nbsp;";"&nbsp;";209700;0;0;0;;;0;1;;{Gesan};Испания;{в кожухе};{электростарт};Honda GX670;{бензиновый 4-х тактный};{АИ-92};{3000};воздушное;77;900х585х610;110
0;953;Бензиновая электростанция G3000H;Бензиновая электростанция G3000H;"&nbsp;";"Генераторы - электростанции - <a href=""/gesan.html"">Gesan</a>.";24900;0;0;0;Бензиновая электростанция G3000H;Бензиновая электростанция G3000H;0;1;;{Gesan};Испания;{без кожуха};{ручной};Honda GX160;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};73;615x400x490;34.6
0;970;Бензиновая электростанция G4000H;Бензиновая электростанция G4000H;"&nbsp;";"Дешевые бензиновые <a href=""/gesan.html"">электростанции Gesan</a>.";33700;0;0;0;Бензиновая электростанция G4000H;Бензиновая электростанция G4000H;0;1;;{Gesan};Испания;{без кожуха};{ручной};Honda GX200;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};76;615x400x490;43.5
0;1022;Бензиновая электростанция G5000H;Бензиновая электростанция G5000H;"&nbsp;";"Дизель <a href=""/gesan.html"">электростанции Gesan</a> Москва.";106600;0;0;0;Бензиновая электростанция G5000H;Бензиновая электростанция G5000H;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};Honda GX270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};76;720x500x500;50
0;1019;Бензиновая электростанция G5000H;Бензиновая электростанция G5000H;"&nbsp;";"Дизель генератор <a href=""/gesan.html"">Gesan</a>.";57600;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{электростарт};Honda GX270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};76;720*500*500;50
0;1022;Бензиновая электростанция G5000H;Бензиновая электростанция G5000H;"&nbsp;";"&nbsp;";106600;0;0;0;;;0;1;;{Gesan};Испания;{без кожуха};{автозапуск};Honda GX270;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};76;720x500x500;50
0;1008;Бензиновая электростанция G5000V;Бензиновая электростанция G5000V;"&nbsp;";"Дизель <a href=""/gesan.html"">электростанции Gesan</a> продажа.";38500;0;0;0;Бензиновая электростанция G5000V;Бензиновая электростанция G5000V;0;1;;{Gesan};Испания;{без кожуха};{ручной};VANGUARD 185432;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;720x500x500;54
0;1016;Бензиновая электростанция G5TFV;Бензиновая электростанция G5TFV;"&nbsp;";"Дизельные генераторы Geko, <a href=""/gesan.html"">Gesan</a>.";49800;0;0;0;Бензиновая электростанция G5TFV;Бензиновая электростанция G5TFV;0;1;;{Gesan};Испания;{без кожуха};{ручной};VANGUARD 185432;{бензиновый 4-х тактный};{АИ-92};{3000};{воздушное};77;720x500x500;61
